respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.08688167,0.34615505
26708,0.04430285,0.031216353
26709,0.061478883,0.36792904
26710,0.7253573,0.896049
26711,0.23334065,0.5618481
26712,0.7878041,0.98544294
26713,0.18233865,0.7263511
26714,0.11572984,0.117723405
26715,0.025968432,0.07903975
26716,0.18943262,0.8984156
26717,0.007409662,0.6443645
26718,0.29012936,0.648001
26719,0.061621994,0.96728647
26720,0.012509048,0.23867801
26721,0.1746893,0.35610908
26722,0.03828293,0.110631645
26723,0.92050874,0.939271
26724,0.018599004,0.71125257
26725,0.0053346157,0.1322585
26726,0.021683574,0.011958182
26727,0.25576633,0.9510089
26728,0.12130821,0.68537223
26729,0.16802105,0.93936324
26730,0.044942647,0.12696046
26731,0.023012877,0.110082835
26732,0.05483383,0.16140562
26733,0.9864022,0.98412716
26734,0.8506088,0.1943779
26735,0.08530712,0.33167404
26736,0.048684567,0.1527091
26737,0.036662698,0.052553326
26738,0.6618645,0.91682255
26739,0.0601058,0.41103303
26740,0.03766653,0.09065512
26741,0.04943672,0.93781483
26742,0.037037104,0.6604706
26743,0.018212914,0.6185868
26744,0.0081297755,0.8224481
26745,0.04445505,0.7924886
26746,0.27113235,0.29930657
26747,0.03823656,0.15927204
26748,0.049741805,0.05596006
26749,0.03211966,0.85074097
26750,0.33533087,0.7525871
26751,0.3835741,0.7867866
26752,0.07732049,0.21203852
26753,0.28985557,0.66005045
26754,0.058954626,0.7663888
26755,0.10710469,0.4878982
26756,0.021164358,0.047240973
26757,0.07481244,0.5806121
26758,0.4313494,0.797186
26759,0.009420574,0.30829903
26760,0.0038063526,0.15447494
26761,0.38109758,0.7986207
26762,0.14056727,0.96003795
26763,0.96197265,0.9639722
26764,0.99253774,0.9856531
26765,0.011706382,0.76713115
26766,0.048785776,0.27769515
26767,0.8683409,0.7888201
26768,0.0048045814,0.3582418
26769,0.082512826,0.13383234
26770,0.008883953,0.6374445
26771,0.0024644434,0.060273886
26772,0.049604595,0.62925005
26773,0.00727427,0.219913
26774,0.017074496,0.49778318
26775,0.0082241,0.7482419
26776,0.36906022,0.19476944
26777,0.031428576,0.98630774
26778,0.016231805,0.009636939
26779,0.1945669,0.63996273
26780,0.010160923,0.981274
26781,0.12131497,0.6668271
26782,0.06809163,0.48886168
26783,0.011876732,0.27824813
26784,0.074092865,0.76876664
26785,0.5741488,0.7368363
26786,0.008776188,0.14794084
26787,0.056677967,0.6603867
26788,0.016549438,0.94738454
26789,0.011372417,0.1474905
26790,0.012997538,0.21072507
26791,0.04031849,0.107750446
26792,0.0650644,0.75293386
26793,0.11771178,0.9715123
26794,0.35747415,0.893905
26795,0.04146436,0.9945438
26796,0.006416738,0.044156253
26797,0.11096412,0.93335354
26798,0.107842475,0.11223468
26799,0.41242087,0.29215923
26800,0.017274886,0.9466108
26801,0.16417447,0.46646854
26802,0.05559337,0.19402811
26803,0.021680325,0.18538082
26804,0.015394092,0.04325837
26805,0.022113234,0.16593826
26806,0.008623153,0.93720645
26807,0.23950124,0.8251821
26808,0.10149217,0.6087745
26809,0.6785055,0.17826295
26810,0.023442835,0.21224296
26811,0.010061085,0.029181212
26812,0.27717146,0.95056105
26813,0.91852117,0.47906342
26814,0.009183526,0.7581903
26815,0.0053293705,0.004972607
26816,0.053168595,0.11697599
26817,0.018087566,0.6599022
26818,0.08641091,0.47405696
26819,0.5236677,0.27305937
26820,0.06675041,0.07126939
26821,0.012099415,0.8044695
26822,0.031343073,0.6873002
26823,0.24152958,0.1477099
26824,0.007918239,0.6556641
26825,0.41319728,0.8337133
26826,0.04171717,0.771606
26827,0.0054431856,0.067430735
26828,0.11820117,0.17434257
26829,0.9759999,0.9576827
26830,0.008388281,0.904824
26831,0.050991267,0.9487269
26832,0.022156537,0.8507999
26833,0.014186591,0.7444152
26834,0.15523517,0.5686259
26835,0.30345085,0.8851149
26836,0.15785,0.82671547
26837,0.11535567,0.047132432
26838,0.113491744,0.5434862
26839,0.04125908,0.572091
26840,0.06279659,0.13268954
26841,0.8087587,0.89316964
26842,0.09284538,0.34185165
26843,0.042060465,0.033161342
26844,0.06822857,0.60694396
26845,0.012139916,0.79727805
26846,0.02893421,0.9159279
26847,0.3863186,0.32571518
26848,0.0066832304,0.8092598
26849,0.502919,0.8218914
26850,0.17171651,0.63535804
26851,0.017221838,0.01707697
26852,0.014450341,0.025391787
26853,0.2859128,0.6607399
26854,0.005322933,0.01722464
26855,0.1548686,0.91349566
26856,0.01177752,0.018200815
26857,0.4510269,0.1151779
26858,0.024726778,0.71855724
26859,0.028162658,0.019369036
26860,0.055211246,0.22338295
26861,0.053738654,0.087319225
26862,0.021569848,0.3101118
26863,0.04363364,0.49149072
26864,0.2608146,0.34465072
26865,0.011069715,0.03902951
26866,0.077925295,0.5575856
26867,0.08820954,0.26533955
26868,0.9897477,0.9817717
26869,0.018160969,0.22153765
26870,0.5586817,0.94602406
26871,0.011938691,0.0052396953
26872,0.0049120784,0.39666617
26873,0.062491417,0.7456649
26874,0.015305132,0.07807851
26875,0.21682379,0.8836782
26876,0.018006653,0.030930698
26877,0.023150027,0.29289812
26878,0.081691235,0.22960109
26879,0.007808894,0.043781668
26880,0.085419714,0.07510665
26881,0.009963721,0.05904594
26882,0.010285735,0.033296555
26883,0.11438009,0.29783762
26884,0.18669593,0.16642982
26885,0.20992139,0.8984705
26886,0.050325364,0.9008142
26887,0.65554655,0.9157701
26888,0.97195387,0.98845994
26889,0.00955987,0.23775971
26890,0.040803164,0.5571783
26891,0.72550166,0.93018544
26892,0.074704826,0.88704896
26893,0.008546412,0.12184459
26894,0.15211809,0.22157443
26895,0.019059211,0.9141811
26896,0.05686009,0.03480208
26897,0.018644243,0.7013769
26898,0.08899537,0.66148424
26899,0.0083218515,0.035604954
26900,0.060196698,0.18574479
26901,0.011030734,0.65181094
26902,0.15028542,0.93235415
26903,0.08219269,0.025835752
26904,0.05599314,0.34009472
26905,0.18171987,0.84798455
26906,0.008313239,0.25387436
26907,0.0027787685,0.65970755
26908,0.035256058,0.7175638
26909,0.15826827,0.3295402
26910,0.103187114,0.21375799
26911,0.018170953,0.12010819
26912,0.3988452,0.92369354
26913,0.75774264,0.87283593
26914,0.011168718,0.08272168
26915,0.050231576,0.6766048
26916,0.0028967857,0.51511276
26917,0.0038005114,0.013206512
26918,0.89959335,0.9837912
26919,0.092853814,0.52381307
26920,0.010142654,0.11879054
26921,0.13185361,0.96960443
26922,0.009055406,0.8009944
26923,0.13479036,0.58735245
26924,0.8427937,0.98371875
26925,0.10786843,0.94337595
26926,0.84716445,0.62763804
26927,0.5197524,0.8204235
26928,0.056750268,0.6233903
26929,0.060558736,0.21285495
26930,0.5284564,0.90390694
26931,0.1287759,0.5476131
26932,0.060810983,0.95927835
26933,0.0059613287,0.7791674
26934,0.32165658,0.7302278
26935,0.054040432,0.5825348
26936,0.14771217,0.20023927
26937,0.10334328,0.8411817
26938,0.023564488,0.040433526
26939,0.038854152,0.082564384
26940,0.063691914,0.29160565
26941,0.1933549,0.6125578
26942,0.70275366,0.9394747
26943,0.03838858,0.671627
26944,0.03741479,0.11934918
26945,0.020824254,0.67638165
26946,0.02154982,0.8507362
26947,0.15658104,0.43288013
26948,0.028478354,0.013800859
26949,0.006196648,0.07454193
26950,0.015118688,0.6954222
26951,0.06918472,0.31590995
26952,0.9905945,0.9886307
26953,0.49082038,0.8781365
26954,0.008466393,0.11591396
26955,0.034056038,0.72420543
26956,0.122451454,0.13235381
26957,0.012384504,0.9744594
26958,0.0677875,0.8504753
26959,0.03301704,0.3670398
26960,0.011517018,0.026923954
26961,0.5611781,0.3809897
26962,0.13126448,0.92631733
26963,0.041704923,0.16996089
26964,0.017500311,0.1481764
26965,0.58803356,0.9260538
26966,0.012970865,0.11867306
26967,0.080409706,0.38761717
26968,0.013148248,0.97418725
26969,0.040775597,0.14481246
26970,0.8370379,0.7650411
26971,0.038746208,0.27616137
26972,0.0037531853,0.01185894
26973,0.040116042,0.11286917
26974,0.2698882,0.32194635
26975,0.15861514,0.75875914
26976,0.93089503,0.6355088
26977,0.14441022,0.54098344
26978,0.00832805,0.9556948
26979,0.53543955,0.93625975
26980,0.03130418,0.054513305
26981,0.018347591,0.2970858
26982,0.78031117,0.88673663
26983,0.39108655,0.7239565
26984,0.013931364,0.051777244
26985,0.010279357,0.03351465
26986,0.024753064,0.35744387
26987,0.037277162,0.1506111
26988,0.0051991045,0.1889959
26989,0.4150259,0.93675435
26990,0.009286642,0.12499806
26991,0.047963947,0.5299895
26992,0.38536173,0.50549716
26993,0.015433162,0.8971144
26994,0.13357204,0.4267436
26995,0.07812858,0.23558712
26996,0.1622029,0.26585144
26997,0.011142552,0.11389321
26998,0.03841883,0.03785637
26999,0.12722307,0.52253944
27000,0.032121718,0.4347695
27001,0.01613748,0.88625836
27002,0.0070680976,0.16378048
27003,0.0070148706,0.06641984
27004,0.19226816,0.26215404
27005,0.31759948,0.8717567
27006,0.924824,0.9719551
